corpus_size;modelo;tamanho_contexto;categoria;qtde_total;qtde_analisada;qtde_fora_dicionario;qtde_fora_ranking;mse;rmsd
5100000;cbow;6;gram5-present-participle;1056;765;126;165;0.010065;0.100327
5100000;cbow;6;gram6-nationality-adjective;1599;1350;228;21;0.004011;0.063329
5100000;cbow;6;gram7-past-tense;1560;1254;78;228;0.009795;0.098971
5100000;cbow;6;gram8-plural;1332;1015;210;107;0.008000;0.089443
5100000;cbow;6;gram9-plural-verbs;870;602;168;100;0.007829;0.088480
5100000;cbow;6;TOTAL;19544;11763;6118;1663;0.008795;0.093780
5100000;skip-gram;6;capital-common-countries;506;458;44;4;0.002930;0.054129
5100000;skip-gram;6;capital-world;4524;1776;2645;103;0.006670;0.081672
5100000;skip-gram;6;currency;866;239;528;99;0.010114;0.100570
5100000;skip-gram;6;city-in-state;2467;1631;541;295;0.009048;0.095121
5100000;skip-gram;6;family;506;319;164;23;0.005256;0.072497
5100000;skip-gram;6;gram1-adjective-to-adverb;992;416;290;286;0.009069;0.095229
5100000;skip-gram;6;gram2-opposite;812;223;432;157;0.011395;0.106747
5100000;skip-gram;6;gram3-comparative;1332;1115;142;75;0.005024;0.070884
5100000;skip-gram;6;gram4-superlative;1122;517;522;83;0.008680;0.093166
5100000;skip-gram;6;gram5-present-participle;1056;636;126;294;0.009778;0.098882
5100000;skip-gram;6;gram6-nationality-adjective;1599;1369;228;2;0.001969;0.044374
5100000;skip-gram;6;gram7-past-tense;1560;1146;78;336;0.006903;0.083084
5100000;skip-gram;6;gram8-plural;1332;996;210;126;0.008035;0.089640
5100000;skip-gram;6;gram9-plural-verbs;870;560;168;142;0.006635;0.081453
5100000;skip-gram;6;TOTAL;19544;11401;6118;2025;0.006753;0.082174
5100000;cbow;8;capital-common-countries;506;459;44;3;0.006726;0.082013
5100000;cbow;8;capital-world;4524;1808;2645;71;0.008556;0.092497
5100000;cbow;8;currency;866;238;528;100;0.020084;0.141717
5100000;cbow;8;city-in-state;2467;1682;541;244;0.010901;0.104408
5100000;cbow;8;family;506;323;164;19;0.004342;0.065896
5100000;cbow;8;gram1-adjective-to-adverb;992;439;290;263;0.016001;0.126494
5100000;cbow;8;gram2-opposite;812;200;432;180;0.016904;0.130014
5100000;cbow;8;gram3-comparative;1332;1149;142;41;0.003816;0.061774
5100000;cbow;8;gram4-superlative;1122;554;522;46;0.010114;0.100567
5100000;cbow;8;gram5-present-participle;1056;787;126;143;0.011211;0.105883
5100000;cbow;8;gram6-nationality-adjective;1599;1359;228;12;0.003916;0.062579
5100000;cbow;8;gram7-past-tense;1560;1277;78;205;0.010612;0.103012
5100000;cbow;8;gram8-plural;1332;1079;210;43;0.009934;0.099670
5100000;cbow;8;gram9-plural-verbs;870;590;168;112;0.010357;0.101770
5100000;cbow;8;TOTAL;19544;11944;6118;1482;0.009042;0.095087
5100000;skip-gram;8;capital-common-countries;506;461;44;1;0.002509;0.050085
5100000;skip-gram;8;capital-world;4524;1808;2645;71;0.005620;0.074968
5100000;skip-gram;8;currency;866;241;528;97;0.011446;0.106985
5100000;skip-gram;8;city-in-state;2467;1693;541;233;0.008131;0.090171
5100000;skip-gram;8;family;506;321;164;21;0.005865;0.076586
5100000;skip-gram;8;gram1-adjective-to-adverb;992;452;290;250;0.010108;0.100538
5100000;skip-gram;8;gram2-opposite;812;214;432;166;0.012804;0.113155
5100000;skip-gram;8;gram3-comparative;1332;1119;142;71;0.005358;0.073196
5100000;skip-gram;8;gram4-superlative;1122;507;522;93;0.009465;0.097286
5100000;skip-gram;8;gram5-present-participle;1056;694;126;236;0.010300;0.101491
